SaleDate,AssrLandUse,xrCompositeLandUseID_MinMax,xrBuildingTypeID_MinMax,LocationStartNumber_MinMax,xrPrimaryNeighborhoodID_MinMax,LandSF_MinMax,TotalFinishedArea_MinMax,LivingUnits_MinMax,SalePrice_MinMax,TotalAppraisedValue_MinMax,xrSalesValidityID_MinMax,xrDeedID_MinMax,xrCompositeLandUseID_Zscore,xrBuildingTypeID_Zscore,LocationStartNumber_Zscore,xrPrimaryNeighborhoodID_Zscore,LandSF_Zscore,TotalFinishedArea_Zscore,LivingUnits_Zscore,SalePrice_Zscore,TotalAppraisedValue_Zscore,xrSalesValidityID_Zscore,xrDeedID_Zscore
2023/01/31 00:00:00+00,TWO FAMILY,0.5714285714285714,0.8,0.0,0.8606811145510836,0.5089285714285714,0.07032473006061092,0.16666666666666666,0.0022186738438094104,0.2200977267898874,0.9259259259259258,0.41666666666666663,1.1721326186338568,1.1379862785170858,-0.6376197559166448,1.3627636482055732,0.10255920405786106,-1.0330819084747602,-0.6827061286678859,-0.17871017967109223,-0.707641977101014,1.5921142869134237,0.39618909323287627
2022/10/18 00:00:00+00,ONE FAMILY,0.5714285714285714,0.8,0.012145748987854251,0.8823529411764707,0.5089285714285714,0.11736844217878216,0.16666666666666666,0.0038805702211115165,0.3943063522413427,0.037037037037037035,0.41666666666666663,1.1721326186338568,1.1379862785170858,-0.49946664765057647,1.432060586306004,0.10255920405786106,-0.7824023561418358,-0.6827061286678859,-0.15484127245377705,0.22728533936260348,-0.9199117788083547,0.39618909323287627
2022/03/24 00:00:00+00,THREE FAMILY,,,,,,,,,,,,,,,,,,,,,,
2023/10/16 00:00:00+00,ONE FAMILY,0.0,0.30000000000000004,0.12035333087964667,0.12074303405572755,0.665,0.2994420583631036,0.16666666666666666,0.0,0.45209262800084976,0.4074074074074074,0.29166666666666663,-1.072459667858818,-0.9231440582097212,0.7313519532653046,-1.0032318097948576,0.9126069000002016,0.18780451193166706,-0.6827061286678859,-0.21057577661603583,0.5374075711651692,0.12676574857571968,-0.811462439511652
2021/01/08 00:00:00+00,THREE FAMILY,,,,,,,,,,,,,,,,,,,,,,
2023/06/13 00:00:00+00,CONDOMINIMUM,0.14285714285714285,0.55,0.02318733897681266,0.5572755417956657,0.9285714285714286,0.3219202825833902,0.3333333333333333,1.687204443961529e-08,0.5842362438920756,0.18518518518518517,0.3333333333333333,-0.5113115962356494,0.10742111015368225,-0.37387291286324165,0.3926065147995388,2.2806050684337196,0.3075831376197538,0.4798784736492245,-0.2105755342921047,1.2465841453607425,-0.5012407678547249,-0.4089119285968092
2024/05/21 00:00:00+00,ONE FAMILY,0.0,0.15000000000000002,0.14354066985645933,0.02476780185758514,0.5982142857142856,0.12346967446714567,0.16666666666666666,,0.2806458466114298,0.4444444444444444,0.29166666666666663,-1.072459667858818,-1.5414831592277634,0.9950987963187076,-1.3101182499539092,0.5659732177548522,-0.7498910148836408,-0.6827061286678859,,-0.3826977268667079,0.23143350131412713,-0.811462439511652
2022/09/21 00:00:00+00,ONE FAMILY,0.0,0.15000000000000002,0.0360691939639308,0.012383900928792569,0.7589285714285714,0.06807690763858228,0.16666666666666666,0.0,0.3229233057148927,0.18518518518518517,0.3333333333333333,-1.072459667858818,-1.5414831592277634,-0.2273468889446844,-1.3497165002970126,1.4001184424094364,-1.045059771043569,-0.6827061286678859,-0.21057577661603583,-0.15580682933468365,-0.5012407678547249,-0.4089119285968092
2024/05/20 00:00:00+00,THREE FAMILY,0.14285714285714285,0.55,0.006256900993743098,0.3498452012383901,0.8482142857142856,0.36093605748003055,0.3333333333333333,0.0,0.271935415338857,0.18518518518518517,0.3333333333333333,-0.5113115962356494,0.10742111015368225,-0.5664499728704884,-0.2706641784474439,1.8635324561064275,0.5154846093497901,0.4798784736492245,-0.21057577661603583,-0.42944409268988876,-0.5012407678547249,-0.4089119285968092
2022/03/29 00:00:00+00,THREE FAMILY,,,,,,,,,,,,,,,,,,,,,,
2021/10/28 00:00:00+00,ONE FAMILY,,,,,,,,,,,,,,,,,,,,,,
2023/12/15 00:00:00+00,ONE FAMILY,,,,,,,,,,,,,,,,,,,,,,
2022/09/09 00:00:00+00,CONDOMINIMUM,0.0,0.25,0.07729112992270888,0.5572755417956657,0.6919642857142856,0.14554650182635576,0.16666666666666666,0.0009701425552778791,0.3120883790099851,0.9629629629629629,0.41666666666666663,-1.072459667858818,-1.1292570918824019,0.24153638759469884,0.3926065147995388,1.052557932136693,-0.6322512932256985,-0.6827061286678859,-0.19664215057547113,-0.21395474779766474,1.6967820396518312,0.39618909323287627
2023/07/25 00:00:00+00,ONE FAMILY,0.14285714285714285,0.55,0.0806036069193964,0.03715170278637771,0.5616071428571427,0.37321880142897285,0.3333333333333333,0.003964930443309593,0.538559592096877,0.9629629629629629,0.7916666666666666,-0.5113115962356494,0.10742111015368225,0.27921450803089926,-1.2705199996108059,0.37597347213908583,0.580935072672209,0.4798784736492245,-0.15362965279807578,1.0014507636050378,1.6967820396518312,4.019143691466461
2021/07/15 00:00:00+00,TWO FAMILY,,,,,,,,,,,,,,,,,,,,,,
2022/06/30 00:00:00+00,TWO FAMILY,,,,,,,,,,,,,,,,,,,,,,
2022/09/07 00:00:00+00,CONDOMINIMUM,,,,,,,,,,,,,,,,,,,,,,
2021/08/23 00:00:00+00,ONE FAMILY,0.9999999999999998,0.0,0.03643724696356275,0.8637770897832818,0.5089285714285714,,0.0,0.0016028442217634524,0.0,0.9259259259259258,0.41666666666666663,2.855576833503363,-2.1598222602458055,-0.22316043111843992,1.372663210791349,0.10255920405786106,,-1.8452907309849964,-0.18755500315771156,-1.888842830584316,1.5921142869134237,0.39618909323287627
2022/01/24 00:00:00+00,ONE FAMILY,,,,,,,,,,,,,,,,,,,,,,
2021/09/24 00:00:00+00,ONE FAMILY,0.0,0.2,0.04416635995583364,0.012383900928792569,0.6339285714285714,0.1493397021635291,0.16666666666666666,0.0037118497767153636,0.3913320586360739,0.037037037037037035,0.41666666666666663,-1.072459667858818,-1.3353701255550827,-0.13524481676730557,-1.3497165002970126,0.7513388232336486,-0.6120386501408338,-0.6827061286678859,-0.1572645117651796,0.21132316566688317,-0.9199117788083547,0.39618909323287627
